source,target
1104252,1247062
3026311,1104252
1104252,944336
1374403,1104252
1374403,1104252
1374403,1104252
3026311,1104252
1104252,1221208
1104252,1374403
1374403,1104252
1374403,1104252
1356549,1104252
1374403,1104252
1104252,1435450
1221208,1104252
1104252,1014416
1104252,342248
1374403,1104252
1104252,1435450
1179528,1104252
1356549,1104252
1356549,1104252
1221208,1104252
565085,1104252
959301,1104252
575149,1104252
1104252,1221208
1999908,1104252
1374403,1104252
1999908,1104252
1179528,1104252
1104252,1179528
1104252,1179528
1221208,1104252
1104252,1412011
1104252,726558
284765,1104252
1104252,1546203
1250428,1104252
1104252,749934
1104252,372611
1104252,342248
342248,1104252
342248,1104252
454713,1104252
1463614,1110982
1463614,1110982
1539052,1110982
1463614,1110982
260965,1110982
2873755,1110982
613838,1110982
613838,1110982
1463614,1110982
1463614,1110982
1463614,1110982
1463614,1110982
613838,1110982
1484117,1110982
2562952,1110982
603558,1110982
1463614,1110982
260965,1110982
260965,1110982
959262,1110982
1110982,741412
959262,1110982
959262,1110982
132353,1110982
260965,1110982
603558,1110982
1127716,240371
1127716,240371
240371,1127716
1127716,6520151
240371,1127716
3163073,1127716
6520151,1127716
